sceneId,pageIndex,label,text,imageAssetKey,speakerNpcCaptainId,viewMode,textBoxPreset,imageScalePct,text_en,label_en,actionLabel,actionLabel_en
intro01,0,[ 발견 ],은하계 동부를 손에 넣은 크림슨 레기온은\n끈질기고 은밀한 움직임 끝에\n마침내 깊숙한 어둠의 구역 안에\n잠들어 있던 아크코어를 찾아낸다.\n\n,,,cinematic,default,100,"Having seized the east of the galaxy, the Crimson Legion,\nafter persistent and covert movement,\nat last finds ArcCore that had lain asleep\ndeep within a zone of darkness.\n\n",[ Discovery ]
intro01,1,[ 침공 ],"그들은 압도적인 아크코어의 힘을 앞세워,\n오랜 전통과 역사를 간직한\n스텔리움 연합을 침공했다.\n\n",,,cinematic,default,100,"With ArcCore's overwhelming power at the fore,\nthey invaded the Stellium Alliance,\nwhich had long cherished its tradition and history.\n\n",[ Invasion ]
intro01,2,[ 전쟁 ],"끊이지 않는 죽음과 파괴 속에서,\n두 세력의 잔혹한 전쟁은\n지금 이 순간에도 계속되고 있다.\n\n",,,cinematic,default,100,"Amid unending death and destruction,\nthe brutal war between the two powers\ncontinues even at this very moment.\n\n",[ War ]
ingame_dialog_01,0,[ 안내 오퍼레이터 ],환영합니다. [닉네임]님.\n\n아르카디아에 도착하셨습니다.\n먼저 하단의 스캔을 누르십시오.,assets/images/npc/stella_aris_char001.png,npc_cpt_operator_stella,ingame_dialog,compact,100,"Welcome, [Pilot].\n\nYou have arrived at Arcadia.\nFirst, tap Scan at the bottom.",[ Guide Operator ]
ingame_dialog_scan_main_quest,0,[ 안내 오퍼레이터 ],"이제, 저와 대화할 수 있는\n메신저 통신창이 연결되었습니다.\n'대화'버튼을 누르면\n저와 언제든지 대화할 수 있어요",assets/images/npc/stella_aris_char001.png,npc_cpt_operator_stella,ingame_dialog,compact,100,"The messenger comm window is now\nconnected so we can talk.\nPress the Talk button and\nwe can talk anytime.",[ Guide Operator ]
ingame_dialog_wave_defense_end,0,[ 안내 오퍼레이터 ],[닉네임]님. 전투가 종료되었습니다.\n\n다시 정비한 뒤 다음 침공에 대비해 주십시오.,assets/images/npc/mia_bello_char002.png,npc_cpt_operator_stella,ingame_dialog,compact,100,"[Pilot], the battle is over.\n\nRefit and prepare for the next invasion.",[ Guide Operator ]
npc_dialog_default,0,[ 함장 ],반갑습니다 [닉네임]님.\n\n현재 이 행성에 잠시 정박 중입니다.\n특별한 용건은 아직 없습니다.\n다음 기회에 다시 들러 주십시오.,assets/images/npc/noname_char003.png,,ingame_dialog,compact,100,"Good to meet you, [Pilot].\n\nI'm docked at this planet for a while.\nNothing special to report yet.\nDrop by again next time.",[ Captain ]
npc_dialog_arc_transport_temp,0,[ 아크수송선단 ],스캔 채널 확인.\n\n현재 항로 운항 중인 아크수송선단 함장입니다.\n화물·항로·임무 연동은 아직 준비 중입니다.\n지금은 통신 테스트만 가능합니다.,assets/images/npc/noname_char004.png,,ingame_dialog,compact,100,"Scan channel confirmed.\n\nCaptain of the Arc Transport Fleet, currently underway.\nCargo, routes, and mission links are still in preparation.\nFor now, only comms testing is available.",[ Arc Transport Fleet ]
npc_dialog_orbit_captain_temp,0,[ 궤도 함장 ],통신 연결 확인.\n\n현재 이 행성 궤도를 선회 중인 함장입니다.\n정식 임무·보급·정보 교환은 후속 단계에서 개방됩니다.,assets/images/npc/noname_char005.png,,ingame_dialog,compact,100,"Comms link confirmed.\n\nI'm a captain circling this planet's orbit.\nFormal missions, supply, and intel exchange open in a later phase.",[ Orbit Captain ]
npc_dialog_mireille,0,[ 미레유 보스 ],연방 순항대 채널이다.\n경고 광파를 한 번 보낸다.\n도발만 없으면 통과시키지.,assets/images/npc/noname_char006.png,npc_cpt_mireille,ingame_dialog,compact,100,"Federation Patrol channel open.\nI'll send one warning pulse.\nNo provocation, and I'll let you pass.",[ Boss Mireille ]
npc_dialog_orin,0,[ 오린 케이드 ],약한 신호는 무시한다.\n위협만 응답하지.\n잡담은 본부에서 하시오.,assets/images/npc/noname_char007.png,npc_cpt_orin,ingame_dialog,compact,100,I ignore weak signals.\nI respond only to threats.\nSave the chatter for HQ.,[ Orin Cade ]
npc_dialog_sela,0,[ 셀라 모른 ],미네르바 광물 호송단 소속이다.\n광물 호송 중이니 안전 거리만 지켜달라.\n이쪽은 선공할 일이 거의 없다.,assets/images/npc/noname_char008.png,npc_cpt_sela,ingame_dialog,compact,100,Minerva Mineral Convoy here.\nEscorting ore — keep your distance.\nWe rarely strike first.,[ Sela Morn ]
npc_dialog_jex,0,[ 젝스 타르 ],신원 식별 즉시 응답하라.\n응답 없으면 정해진 절차대로 처리한다.\n이쪽은 변경 사격권이다.,assets/images/npc/noname_char009.png,npc_cpt_jex,ingame_dialog,compact,100,"Identify yourself at once.\nNo response, and I follow standard procedure.\nThis is a free-fire frontier.",[ Jex Tar ]
npc_dialog_vector,0,[ 벡터-7 ],관측 채널 1번 개방.\n당신의 추력 패턴은 정상 범위.\n이상 신호 감지 시 다시 호출한다.,assets/images/npc/noname_char010.png,npc_cpt_vector,ingame_dialog,compact,100,"Observation channel one, open.\nYour thrust pattern is within normal range.\nI'll hail you again if I detect anomalies.",[ Vector-7 ]
npc_dialog_kresh,0,[ 크레쉬 박 ],포획? 시간 낭비다.\n격파가 더 빠르고 깔끔하지.\n살아 돌아갔다면 운이 좋았던 거다.,assets/images/npc/stella_aris_char001.png,npc_cpt_kresh,ingame_dialog,compact,100,"Capture? Waste of time.\nDestroying you is faster and cleaner.\nIf you made it back alive, you were lucky.",[ Kresh Bak ]
npc_dialog_raid_scar,0,[ 스카 레인 ],베가 외곽은 우리지역이다.\n빠르게 들어와 빠르게 공격한다.\n살아돌아갈 생각은마라.,assets/images/npc/mia_bello_char002.png,npc_cpt_raid_scar,ingame_dialog,compact,100,The Vega outskirts are our turf.\nWe strike fast and hit hard.\nDon't count on getting back alive.,[ Scar Raine ]
